year mon series1 series2 series3 series4
1978 1 43.5713 66.2416 25.5394 47.5568
1978 2 44.6636 67.1244 26.1588 47.444
1978 3 46.0266 68.085 26.9395 48.1603
1978 4 46.8908 68.1515 27.4766 49.6338
1978 5 46.1767 67.9637 27.5606 50.0985
1978 6 46.4348 68.407 28.0292 50.3143
1978 7 46.4837 67.8414 28.2826 50.3211
1978 8 46.2554 67.8699 28.8233 50.4563
1978 9 45.9729 68.1844 29.1275 50.5465
1978 10 46.1338 68.0523 29.7168 51.0775
1978 11 46.2739 68.2183 30.2249 51.4759
1978 12 46.4212 68.3699 30.5813 51.7086
1979 1 46.737 67.8751 30.8766 51.0236
1979 2 46.2139 67.6654 31.2455 51.4614
1979 3 46.13 68.0972 31.4589 51.5401
1979 4 43.8462 67.8022 30.8588 51.24
1979 5 45.1256 67.5822 31.6381 51.4978
1979 6 44.5879 67.5016 31.8373 51.5459
1979 7 44.0348 67.0762 32.1348 51.3782
1979 8 42.1432 67.2682 31.7082 51.0822
1979 9 43.6267 66.9133 32.625 50.777
1979 10 43.3848 67.2783 32.1983 51.2791
1979 11 42.7169 67.5013 32.1749 51.17
1979 12 42.461 67.6789 32.3947 51.0931
1980 1 41.6662 67.7192 32.9223 51.4717
1980 2 41.4439 68.275 33.1048 51.3461
1980 3 40.7248 68.1298 32.9052 51.3025
1980 4 38.9767 67.7261 32.5378 50.0796
1980 5 36.5091 67.2746 32.0002 48.6028
1980 6 35.9122 67.2768 31.6284 47.7686
1980 7 35.8566 67.3972 31.6579 47.0303
1980 8 36.1701 67.538 31.6364 47.1437
1980 9 37.8458 67.2551 32.1866 48.0773
1980 10 38.4872 67.4953 32.8254 48.761
1980 11 39.4576 67.3417 33.4043 49.8797
1980 12 38.9332 67.6409 33.4486 50.3749
1981 1 38.7979 67.806 33.5342 49.7746
1981 2 38.6406 67.6682 33.1744 49.6233
1981 3 39.1701 67.2804 33.4657 49.9498
1981 4 39.659 67.2374 33.8204 49.2572
1981 5 40.2783 67.7956 33.8395 49.525
1981 6 39.9452 67.3485 33.6538 50.2124
1981 7 40.1004 67.8687 33.6702 50.5449
1981 8 39.9074 68.0409 33.7341 50.5387
1981 9 38.9562 67.7738 33.672 50.1094
1981 10 38.7949 68.4698 33.606 49.4202
1981 11 38.1436 68.7976 33.1115 48.5662
1981 12 36.529 68.8751 32.6049 47.9126
1982 1 35.5072 68.018 31.3203 47.0977
1982 2 36.8322 69.4902 32.4033 47.6374
1982 3 36.6789 69.0103 31.9358 47.3386
1982 4 37.3815 68.5559 31.5446 46.7329
1982 5 37.4032 68.624 31.3882 46.193
1982 6 37.6633 68.9621 30.7721 46.0406
1982 7 37.8356 69.0565 30.7067 45.7021
1982 8 37.3759 69.2112 30.0212 45.254
1982 9 36.8273 69.5017 29.8112 44.9767
1982 10 36.3178 69.9303 29.2377 44.4701
1982 11 36.2925 69.7369 29.0777 44.2705
1982 12 36.2123 68.5186 29.3837 43.879
1983 1 37.8045 69.4715 29.4607 44.9012
1983 2 37.6999 68.3875 29.3086 44.7575
1983 3 38.2485 68.4501 29.6381 45.1542
1983 4 39.0684 69.7731 29.6607 45.6852
1983 5 39.8606 69.6814 30.0414 46.0517
1983 6 40.543 69.5065 30.2276 46.3638
1983 7 41.4936 70.2372 30.8305 47.1208
1983 8 42.2719 70.6426 31.068 47.7416
1983 9 43.0369 71.3936 31.9235 48.3991
1983 10 43.5989 70.4969 32.321 49.0889
1983 11 43.5821 70.5027 32.5443 49.3342
1983 12 44.5671 70.0086 32.9235 49.5217
1984 1 45.6054 71.3825 33.6739 50.5519
1984 2 45.7619 71.0677 33.9659 50.8676
1984 3 45.8702 71.3944 34.3165 51.0654
1984 4 45.7891 71.7238 34.5832 51.4323
1984 5 45.3717 71.6309 34.7846 51.7822
1984 6 45.4864 71.4129 35.2285 51.9005
1984 7 45.9897 71.1352 35.733 52.0991
1984 8 46.2636 70.427 36.1155 52.0146
1984 9 45.6438 70.5788 36.2776 51.7724
1984 10 45.2517 71.5793 36.4544 51.3123
1984 11 45.9565 71.5011 36.797 51.4903
1984 12 46.4781 71.6808 37.0543 51.3715
1985 1 45.8962 71.3422 36.8957 51.4098
1985 2 45.5149 72.3103 36.6473 51.6043
1985 3 45.9966 71.8898 37.0265 51.5026
1985 4 45.363 71.7093 36.6899 51.4885
1985 5 45.3713 71.7972 36.7703 51.4935
1985 6 45.3016 72.2608 36.8622 51.4058
1985 7 45.3082 71.772 36.5713 51.0393
1985 8 45.8408 71.9686 36.7219 51.1384
1985 9 45.8001 72.6231 36.59 51.4001
1985 10 45.5814 72.5929 36.5148 51.0858
1985 11 46.6553 72.4471 36.8522 51.1708
1985 12 46.7879 73.511 36.7817 51.8602
1986 1 47.9807 73.9198 36.8223 51.9431
1986 2 47.6476 73.1847 36.386 51.7297
1986 3 47.6705 72.8709 36.4214 51.1815
1986 4 47.5669 73.535 36.1526 51.0791
1986 5 47.7077 74.0249 36.0789 51.0672
1986 6 48.2907 73.8217 35.6813 50.7937
1986 7 48.8999 74.1557 35.9276 51.1712
1986 8 49.082 73.9163 35.9951 50.911
1986 9 49.5317 73.7675 35.9817 51.0598
1986 10 49.5254 74.2106 35.9446 51.361
1986 11 50.1874 74.5672 36.036 51.6108
1986 12 51.1109 74.9939 36.4176 52.0001
1987 1 50.8419 74.1016 36.4607 51.9208
1987 2 51.6839 74.9376 37.3375 52.532
1987 3 51.4079 75.3652 37.1933 52.6528
1987 4 51.0927 75.452 37.512 53.1368
1987 5 51.4008 76.0748 37.8471 53.4037
1987 6 50.8639 76.5559 38.22 53.7664
1987 7 50.6821 77.289 38.3282 54.169
1987 8 51.1977 77.7094 38.8072 54.5446
1987 9 51.6848 76.9085 39.4364 54.7618
1987 10 53.3682 77.8699 40.3303 55.5493
1987 11 53.3125 78.0002 40.6753 56.0512
1987 12 52.89 78.3962 41.0962 56.3262
1988 1 52.7267 79.0315 41.1805 56.1383
1988 2 52.7139 79.5456 41.4142 56.3294
1988 3 53.1627 79.2064 41.8169 56.5498
1988 4 54.3566 79.2338 42.2934 56.8814
1988 5 54.3772 78.8034 42.5274 56.925
1988 6 54.5927 78.6861 42.9146 57.1235
1988 7 53.3074 79.3337 42.6013 57.2885
1988 8 53.8724 79.8871 42.734 57.4983
1988 9 54.8857 78.5189 43.082 57.2403
1988 10 55.3622 79.165 43.4319 57.4358
1988 11 55.9893 78.9087 43.5383 57.5925
1988 12 56.6206 79.0906 43.6253 57.8848
1989 1 57.964 78.4051 44.0812 58.0165
1989 2 57.2557 78.8419 43.9149 57.5842
1989 3 56.4095 79.5676 43.7188 57.8215
1989 4 56.7765 79.1031 44.4047 57.7516
1989 5 55.5151 78.6609 43.7351 57.5572
1989 6 54.8782 79.1022 44.3805 57.3319
1989 7 53.0813 77.7066 43.8525 57.066
1989 8 55.0902 78.389 44.479 57.3494
1989 9 54.9985 77.9952 44.3868 57.172
1989 10 53.9901 78.8753 43.662 57.301
1989 11 54.4096 79.0622 43.938 57.428
1989 12 54.9572 80.6492 44.5636 57.2942
1990 1 52.106 79.8007 44.2516 57.1749
1990 2 55.2407 79.3524 45.0083 57.7351
1990 3 56.2308 79.6032 45.6593 57.8863
1990 4 55.0079 79.8581 45.5574 57.9412
1990 5 55.466 79.5299 46.0049 58.0654
1990 6 56.2195 80.2623 46.045 58.1611
1990 7 54.922 80.22 46.2863 58.1489
1990 8 54.6494 80.5156 46.4116 58.457
1990 9 54.9277 81.4275 46.455 58.3941
1990 10 53.0858 80.6697 46.1653 58.1119
1990 11 50.4292 80.9124 45.0738 57.3949
1990 12 49.5288 80.6186 44.7086 56.9371
1991 1 49.66 81.07 44.4836 56.5699
1991 2 48.4857 80.6718 44.2508 56.3106
1991 3 48.7646 80.651 44.2738 55.853
1991 4 49.8398 80.0324 44.1529 56.0884
1991 5 50.8026 81.4799 44.5062 56.5797
1991 6 52.1373 82.3437 45.1335 56.9621
1991 7 52.9177 81.2797 45.0521 57.3621
1991 8 52.1395 81.7232 45.0462 57.3894
1991 9 54.2267 82.2448 45.6942 57.7156
1991 10 53.925 81.9998 45.2232 57.8058
1991 11 53.971 82.0561 45.2288 57.575
1991 12 53.5413 80.9194 45.3518 57.5923
1992 1 51.2063 81.0161 44.4196 57.5156
1992 2 53.3206 80.9888 45.5054 57.7984
1992 3 54.4667 81.4691 45.8316 58.2867
1992 4 55.5352 81.9578 46.3361 58.6685
1992 5 57.2605 81.7852 46.7876 58.6994
1992 6 56.5322 81.4841 46.9116 58.976
1992 7 58.0063 82.1929 47.2592 59.3925
1992 8 57.6147 82.5045 47.0673 58.7687
1992 9 57.3028 82.0641 47.2481 59.1641
1992 10 58.4762 83.0236 47.5458 59.4704
1992 11 58.9093 83.0283 47.8237 59.8011
1992 12 59.5372 82.77 47.9873 59.6782
1993 1 60.444 82.8623 48.4251 59.9807
1993 2 60.1974 83.0975 48.2479 60.375
1993 3 60.5346 83.0213 48.4331 60.2276
1993 4 60.8187 83.0217 48.7577 60.4817
1993 5 60.9405 82.14 48.8337 60.2854
1993 6 60.4717 82.6534 48.4822 60.6262
1993 7 60.4218 83.6705 48.4779 60.5981
1993 8 59.8543 83.8706 48.1747 60.6992
1993 9 61.0029 83.6061 48.984 60.913
1993 10 62.4727 83.4115 49.871 61.4261
1993 11 62.9872 83.2576 50.1707 61.8163
1993 12 63.2651 83.3564 50.4935 62.2201
